"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Sweths Violation","%5ENSEI","2015-01-09T09:35:00+0530",8283.45,8242.03275,8324.86725,-1,"2015-01-09T12:00:00+0530","8211.2",1,72.25,241,117412.25,145
"2","Sweths Violation","%5ENSEI","2015-01-19T11:25:00+0530",8551.2,8508.444,8593.956,-1,"2015-01-20T09:40:00+0530","8594.6",1,-43.4,275,105477.25,1335
"3","Sweths Violation","%5ENSEI","2015-01-23T10:20:00+0530",8820.35,8776.24825,8864.45175,-1,"2015-01-27T09:15:00+0530","8874.7",1,-54.35,239,92487.6,5695
"4","Sweths Violation","%5ENSEI","2015-01-29T15:00:00+0530",8959.5,9004.2975,8914.7025,1,"2015-01-30T10:30:00+0530","8914.3",-1,-45.2,206,83176.4,1170
"5","Sweths Violation","%5ENSEI","2015-02-05T09:40:00+0530",8742.7,8786.4135,8698.9865,1,"2015-02-05T13:15:00+0530","8799.65",-1,56.95,190,93996.9,215
"6","Sweths Violation","%5ENSEI","2015-02-19T10:30:00+0530",8882,8837.59,8926.41,-1,"2015-02-19T11:00:00+0530","8820.5",1,61.5,212,107034.9,30
"7","Sweths Violation","%5ENSEI","2015-03-16T09:55:00+0530",8633.15,8589.98425,8676.31575,-1,"2015-03-17T09:15:00+0530","8691.2",1,-58.05,248,92638.5,1400
"8","Sweths Violation","%5ENSEI","2015-03-17T09:55:00+0530",8695.8,8739.279,8652.321,1,"2015-03-17T13:05:00+0530","8642",-1,-53.8,213,81179.1,190
"9","Sweths Violation","%5ENSEI","2015-04-06T13:45:00+0530",8625.25,8668.37625,8582.12375,1,"2015-04-07T09:15:00+0530","8687.5",-1,62.25,188,92882.1,1170
"10","Sweths Violation","%5ENSEI","2015-04-13T12:10:00+0530",8805.3,8849.3265,8761.2735,1,"2015-04-15T15:05:00+0530","8744.75",-1,-60.55,211,80106.05,3055
"11","Sweths Violation","%5ENSEI","2015-04-23T09:40:00+0530",8486.9,8529.3345,8444.4655,1,"2015-04-23T10:35:00+0530","8436.4",-1,-50.5,189,70561.55,55
"12","Sweths Violation","%5ENSEI","2015-05-14T15:15:00+0530",8234.5,8275.6725,8193.3275,1,"2015-05-15T09:15:00+0530","8278.3",-1,43.8,171,78051.35,1080
"13","Sweths Violation","%5ENSEI","2015-05-28T09:35:00+0530",8342.75,8301.03625,8384.46375,-1,"2015-05-28T12:10:00+0530","8293.45",1,49.3,187,87270.45,155
"14","Sweths Violation","%5ENSEI","2015-06-23T10:10:00+0530",8389.6,8431.548,8347.652,1,"2015-06-24T15:10:00+0530","8346.8",-1,-42.8,208,78368.05,1740
"15","Sweths Violation","%5ENSEI","2015-06-29T13:05:00+0530",8249.1,8290.3455,8207.8545,1,"2015-06-29T14:05:00+0530","8303.7",-1,54.6,190,88742.05,60
"16","Sweths Violation","%5ENSEI","2015-06-30T09:35:00+0530",8312.8,8271.236,8354.364,-1,"2015-06-30T14:55:00+0530","8367.65",1,-54.85,214,77004.15,320
"17","Sweths Violation","%5ENSEI","2015-07-13T12:30:00+0530",8417.1,8459.1855,8375.0145,1,"2015-07-13T13:00:00+0530","8461.05",-1,43.95,183,85047,30
"18","Sweths Violation","%5ENSEI","2015-07-14T14:00:00+0530",8473.9,8516.2695,8431.5305,1,"2015-07-15T09:55:00+0530","8518.7",-1,44.8,201,94051.8,1195
"19","Sweths Violation","%5ENSEI","2015-08-13T12:10:00+0530",8363.4,8321.583,8405.217,-1,"2015-08-13T12:40:00+0530","8412.6",1,-49.2,225,82981.8,30
"20","Sweths Violation","%5ENSEI","2015-08-19T10:40:00+0530",8473.2,8515.566,8430.834,1,"2015-08-19T11:25:00+0530","8520.3",-1,47.1,196,92213.4,45
"21","Sweths Violation","%5ENSEI","2015-08-21T14:50:00+0530",8299.8,8341.299,8258.301,1,"2015-08-24T09:15:00+0530","7992.7",-1,-307.1,222,24037.2,3985
"22","Sweths Violation","%5ENSEI","2015-09-10T10:55:00+0530",7722.4,7761.012,7683.788,1,"2015-09-10T13:25:00+0530","7775.1",-1,52.7,62,27304.6,150
"23","Sweths Violation","%5ENSEI","2015-10-13T09:35:00+0530",8121.35,8080.74325,8161.95675,-1,"2015-10-15T09:55:00+0530","8180.45",1,-59.1,67,23344.9,2900
"24","Sweths Violation","%5ENSEI","2015-10-19T12:30:00+0530",8265.45,8306.77725,8224.12275,1,"2015-10-21T12:45:00+0530","8217.25",-1,-48.2,56,20645.7,2895
"25","Sweths Violation","%5ENSEI","2015-10-20T10:10:00+0530",8283.05,8324.46525,8241.63475,1,"2015-10-20T14:25:00+0530","8237.85",-1,-45.2,50,18385.7,255
"26","Sweths Violation","%5ENSEI","2015-10-28T12:55:00+0530",8174.75,8133.87625,8215.62375,-1,"2015-10-28T14:45:00+0530","8131.95",1,42.8,45,20311.7,110
"27","Sweths Violation","%5ENSEI","2015-11-06T10:15:00+0530",7937.65,7897.96175,7977.33825,-1,"2015-11-06T11:30:00+0530","7980.4",1,-42.75,51,18131.45,75
"28","Sweths Violation","%5ENSEI","2015-11-13T09:40:00+0530",7763.85,7802.66925,7725.03075,1,"2015-11-16T09:15:00+0530","7723.95",-1,-39.9,47,16256.15,4295
"29","Sweths Violation","%5ENSEI","2015-11-17T14:10:00+0530",7856.55,7895.83275,7817.26725,1,"2015-11-18T09:15:00+0530","7813.65",-1,-42.9,41,14497.25,1145
"30","Sweths Violation","%5ENSEI","2015-11-18T12:20:00+0530",7813.3,7774.2335,7852.3665,-1,"2015-11-18T13:15:00+0530","7773.95",1,39.35,37,15953.2,55
"31","Sweths Violation","%5ENSEI","2015-11-19T10:25:00+0530",7797.35,7836.33675,7758.36325,1,"2015-11-19T13:10:00+0530","7836.9",-1,39.55,41,17574.75,165
"32","Sweths Violation","%5ENSEI","2015-11-20T10:45:00+0530",7872.95,7912.31475,7833.58525,1,"2015-11-23T13:40:00+0530","7827.6",-1,-45.35,45,15534,4495
"33","Sweths Violation","%5ENSEI","2015-12-04T14:00:00+0530",7818.8,7857.894,7779.706,1,"2015-12-04T15:05:00+0530","7778.55",-1,-40.25,40,13924,65
"34","Sweths Violation","%5ENSEI","2015-12-18T09:35:00+0530",7831.8,7870.959,7792.641,1,"2015-12-18T13:05:00+0530","7790.4",-1,-41.4,36,12433.6,210
"35","Sweths Violation","%5ENSEI","2016-01-01T10:50:00+0530",7945.25,7984.97625,7905.52375,1,"2016-01-04T09:15:00+0530","7902.95",-1,-42.3,31,11122.3,4225
"36","Sweths Violation","%5ENSEI","2016-02-17T14:15:00+0530",7058.35,7093.64175,7023.05825,1,"2016-02-17T14:35:00+0530","7097.3",-1,38.95,32,12368.7,20
"37","Sweths Violation","%5ENSEI","2016-02-18T11:25:00+0530",7167.6,7131.762,7203.438,-1,"2016-02-18T14:25:00+0530","7128",1,39.6,35,13754.7,180
"38","Sweths Violation","%5ENSEI","2016-03-17T10:25:00+0530",7552,7514.24,7589.76,-1,"2016-03-17T15:10:00+0530","7513.3",1,38.7,36,15147.9,285
"39","Sweths Violation","%5ENSEI","2016-03-23T15:00:00+0530",7714.5,7753.0725,7675.9275,1,"2016-03-28T12:35:00+0530","7675.1",-1,-39.4,39,13611.3,7055
"40","Sweths Violation","%5ENSEI","2016-03-31T14:35:00+0530",7714.25,7675.67875,7752.82125,-1,"2016-03-31T15:25:00+0530","7761.75",1,-47.5,35,11948.8,50
"41","Sweths Violation","%5ENSEI","2016-04-04T10:40:00+0530",7725.55,7686.92225,7764.17775,-1,"2016-04-04T15:25:00+0530","7764.3",1,-38.75,31,10747.55,285
"42","Sweths Violation","%5ENSEI","2016-04-11T13:30:00+0530",7601,7639.005,7562.995,1,"2016-04-11T14:40:00+0530","7639.6",-1,38.6,28,11828.35,70
"43","Sweths Violation","%5ENSEI","2016-04-18T15:00:00+0530",7915.7,7955.2785,7876.1215,1,"2016-04-21T09:15:00+0530","7975.4",-1,59.7,30,13619.35,3975
"44","Sweths Violation","%5ENSEI","2016-04-21T10:15:00+0530",7952.15,7912.38925,7991.91075,-1,"2016-04-21T14:40:00+0530","7909.2",1,42.95,34,15079.65,265
"45","Sweths Violation","%5ENSEI","2016-05-02T12:00:00+0530",7829.25,7868.39625,7790.10375,1,"2016-05-03T09:20:00+0530","7874.45",-1,45.2,39,16842.45,1280
"46","Sweths Violation","%5ENSEI","2016-05-06T12:45:00+0530",7717.8,7756.389,7679.211,1,"2016-05-09T09:15:00+0530","7784.75",-1,66.95,44,19788.25,4110
"47","Sweths Violation","%5ENSEI","2016-05-10T13:00:00+0530",7878.35,7917.74175,7838.95825,1,"2016-05-11T09:15:00+0530","7781.1",-1,-97.25,50,14925.75,1215
"48","Sweths Violation","%5ENSEI","2016-05-17T10:05:00+0530",7892.5,7853.0375,7931.9625,-1,"2016-05-17T12:45:00+0530","7933.55",1,-41.05,38,13365.85,160
